,Unnamed: 0,Date,close,high,low,open,volumefrom,volumeto,candlestick_pattern,candlestick_match_count
0,0,2019-02-07,3375.33,3406.54,3369.1,3394.89,28811.35,97390901.92,NO_PATTERN,0.0
1,1,2019-02-08,3660.03,3735.1,3363.32,3375.33,89444.22,317023029.42,NO_PATTERN,0.0
2,2,2019-02-09,3652.26,3673.71,3616.11,3660.03,25880.75,94200588.34,NO_PATTERN,0.0
3,3,2019-02-10,3685.14,3689.32,3611.46,3652.26,30046.26,109365095.98,NO_PATTERN,0.0
4,4,2019-02-11,3611.34,3688.59,3608.18,3685.14,40461.58,146354074.39,NO_PATTERN,0.0
5,5,2019-02-12,3617.41,3648.67,3574.22,3611.34,45717.05,164816438.53,NO_PATTERN,0.0
6,6,2019-02-13,3605.87,3655.89,3590.01,3617.41,40664.15,146822348.57,NO_PATTERN,0.0
7,7,2019-02-14,3588.72,3619.7,3567.39,3605.87,32779.35,117804856.32,NO_PATTERN,0.0
8,8,2019-02-15,3593.49,3640.65,3575.95,3588.72,36251.38,130398989.33,NO_PATTERN,0.0
9,9,2019-02-16,3617.24,3639.75,3592.04,3593.49,24003.59,86973822.79,NO_PATTERN,0.0
10,10,2019-02-17,3670.92,3706.17,3608.18,3617.24,36849.32,134218331.16,CDLBELTHOLD_Bull,2.0
11,11,2019-02-18,3912.57,3952.44,3661.42,3670.92,98728.99,376203280.43,CDLBELTHOLD_Bull,1.0
12,12,2019-02-19,3924.24,4010.91,3882.52,3912.57,74127.62,292137057.43,CDLHIGHWAVE_Bull,2.0
13,13,2019-02-20,3974.05,3992.31,3898.91,3924.24,53048.95,209282292.49,NO_PATTERN,0.0
14,14,2019-02-21,3937.04,4026.54,3900.28,3974.05,47433.87,187314178.85,CDLHIKKAKE_Bear,1.0
15,15,2019-02-22,3983.53,3996.15,3917.66,3937.04,43006.55,170405341.81,NO_PATTERN,0.0
16,16,2019-02-23,4149.09,4192.39,3948.48,3983.53,57002.5,231174632.28,CDLHIKKAKE_Bear,1.0
17,17,2019-02-24,3771.62,4221.62,3755.38,4149.09,80391.72,319071544.94,CDLHIKKAKE_Bear,1.0
18,18,2019-02-25,3845.51,3885.06,3771.53,3771.62,48406.42,185036583.31,NO_PATTERN,0.0
19,19,2019-02-26,3817.88,3852.66,3791.9,3845.51,33253.08,126868886.89,NO_PATTERN,0.0
20,20,2019-02-27,3830.72,3851.84,3699.53,3817.88,46011.1,175069054.72,CDLLONGLEGGEDDOJI_Bull,4.0
21,21,2019-02-28,3823.37,3909.86,3798.0,3830.72,44353.45,170646670.66,CDLRICKSHAWMAN_Bull,5.0
22,22,2019-03-01,3831.48,3866.12,3822.67,3823.37,26522.34,101774924.71,CDLLONGLEGGEDDOJI_Bull,3.0
23,23,2019-03-02,3842.94,3846.38,3790.74,3831.48,19283.71,73894412.97,CDLLONGLEGGEDDOJI_Bull,7.0
24,24,2019-03-03,3812.31,3853.28,3788.04,3842.94,16769.86,64065044.79,NO_PATTERN,0.0
25,25,2019-03-04,3731.28,3831.01,3705.14,3812.31,39278.22,147245676.28,NO_PATTERN,0.0
26,26,2019-03-05,3874.18,3893.52,3720.49,3731.28,43262.3,165062256.27,CDLBELTHOLD_Bull,2.0
27,27,2019-03-06,3874.98,3916.29,3839.39,3874.18,33536.95,129520549.49,CDLRICKSHAWMAN_Bull,5.0
28,28,2019-03-07,3882.61,3911.76,3853.2,3874.98,37619.38,146201726.67,CDLRICKSHAWMAN_Bull,6.0
29,29,2019-03-08,3868.02,3932.02,3804.98,3882.61,39428.25,153405087.61,CDLHIGHWAVE_Bear,2.0
30,30,2019-03-09,3947.74,3975.25,3860.66,3868.02,27600.01,108370246.04,CDLBELTHOLD_Bull,1.0
31,31,2019-03-10,3929.84,3948.21,3897.82,3947.74,17404.16,68252920.53,NO_PATTERN,0.0
